,_id,username,category
367,6375d6a86cbf1b635cd3adeb,skai.bar,Bar
368,6375d6a86cbf1b635cd3adec,priscillacheong,Art
369,6375d6a86cbf1b635cd3aded,dennistohsg,Actor
370,6375d6a86cbf1b635cd3adee,simplyo_life,Shopping & retail
371,6375d6a86cbf1b635cd3adef,yeossg,Product/service
372,6375d6a86cbf1b635cd3adf0,beckiball97,Fashion Designer
373,6375d6a86cbf1b635cd3adf1,waterpik,Brand
374,6375d6a86cbf1b635cd3adf2,topazette,Clothing (Brand)
375,6375d6a86cbf1b635cd3adf3,style_lease,Design & fashion
376,6375d6a86cbf1b635cd3adf4,aliceboulangeriesg,Cafe
377,6375d6a86cbf1b635cd3adf5,arcademen,Apparel & clothing
378,6375d6a86cbf1b635cd3adf6,jodiaarielle,Shopping & retail
379,6375d6a86cbf1b635cd3adf7,birkenstock.sg,Footwear store
380,6375d6a86cbf1b635cd3adf8,stregissg,Hotel
381,6375d6a86cbf1b635cd3adf9,dogfinsg,Pet Service
382,6375d6a86cbf1b635cd3adfa,etudesingapore,"Beauty, cosmetic & personal care"
383,6375d6a86cbf1b635cd3adfb,cocodry.co,Health/beauty
384,6375d6a86cbf1b635cd3adfc,zelcrust,DJ
385,6375d6a86cbf1b635cd3adfd,alo,Brand
386,6375d6a86cbf1b635cd3adfe,theomnidesk,Furniture
387,6375d6a86cbf1b635cd3adff,onedime.co,Apparel & clothing
388,6375d6a86cbf1b635cd3ae00,4bwatches_official,Jewelry/watches
389,6375d6a86cbf1b635cd3ae01,59hutong_yakiniku,Digital creator
390,6375d6a86cbf1b635cd3ae02,yashoras,Digital creator
391,6375d6a86cbf1b635cd3ae03,kowayo_aesthetic,Medical & health
392,6375d6a86cbf1b635cd3ae04,photoism.sg,Product/service
393,6375d6a86cbf1b635cd3ae05,mithesalon,Hair Salon
394,6375d6a86cbf1b635cd3ae06,trilogicfitness,Gym/Physical Fitness Center
395,6375d6a86cbf1b635cd3ae07,glowfullyskin,Product/service
